fx.etaria,genero,ocup,pais,acesso,tipo.texto
3,masc,Postdoc,BR,desk,tuto
3,fem,doc,BR,desk,tuto
3,fem,doc,BR,desk,ens
1,fem,grad,BR,Tablet,ens
1,masc,grad,BR,Smartphone,tuto
3,fem,desemp,BR,Tablet,ens
3,fem,desemp,BR,desk,desabafo
3,fem,Postdoc,ext,desk,dica
3,masc,desemp,BR,desk,desabafo
2,fem,mest,BR,desk,tuto
2,masc,mest,BR,desk,ens
5,masc,prof.uni,BR,desk,NA
3,masc,prof.uni,BR,Tablet,tuto
3,masc,prof.uni,BR,desk,ens
2,masc,doc,BR,desk,ens
3,masc,prof.uni,BR,desk,ens
3,masc,Postdoc,BR,desk,ens
3,fem,espec,BR,desk,NA
2,fem,doc,BR,desk,ens
3,masc,prof.uni,BR,desk,tuto
2,fem,doc,BR,Smartphone,tuto
2,fem,pesq,ext,desk,tuto
2,fem,doc,BR,desk,ens
1,masc,mest,BR,desk,ens
4,fem,prof.uni,BR,desk,desabafo
2,masc,doc,BR,desk,tuto
2,masc,doc,BR,desk,desabafo
2,masc,outro,BR,desk,ens
3,fem,outro,BR,desk,tuto
3,fem,prof.tec,BR,desk,tuto
1,fem,mest,BR,desk,dica.leit
2,fem,doc,BR,desk,ens
2,fem,doc,BR,desk,ens
2,masc,mest,BR,desk,NA
3,fem,outro,BR,desk,dica
3,fem,desemp,BR,desk,desabafo
3,masc,prof.uni,BR,desk,desabafo
3,masc,Postdoc,BR,desk,tuto
2,masc,outro,BR,desk,tuto
4,masc,prof.uni,ext,Tablet,desabafo
5,fem,outro,BR,desk,dica
2,masc,mest,BR,Smartphone,ens
2,fem,doc,BR,desk,tuto
2,fem,doc,BR,desk,ens
3,fem,pesq,BR,desk,tuto
3,fem,Postdoc,ext,desk,desabafo
3,fem,desemp,BR,desk,ens
3,masc,prof.uni,BR,desk,dica
3,fem,prof.uni,ext,desk,ens
3,masc,Postdoc,BR,desk,ens
3,masc,prof.uni,BR,desk,ens
2,fem,doc,BR,desk,ens
2,masc,outro,BR,Tablet,ens
3,masc,doc,BR,desk,ens
3,masc,Postdoc,BR,desk,ens
2,masc,pesq,ext,desk,ens
3,masc,Postdoc,ext,desk,ens
3,fem,pesq,BR,desk,NA
2,masc,mest,BR,desk,ens
4,masc,espec,BR,desk,tuto
3,fem,doc,BR,desk,ens
4,masc,prof.uni,BR,desk,desabafo
3,fem,mest,BR,desk,tuto
2,masc,mest,ext,desk,tuto
2,fem,outro,BR,desk,ens
2,masc,prof.bas,BR,Smartphone,ens
2,fem,doc,ext,Smartphone,ens
4,fem,outro,BR,desk,ens
2,fem,grad,BR,Smartphone,ens
3,masc,prof.uni,BR,desk,ens
3,masc,mest,BR,desk,tuto
3,fem,doc,BR,desk,tuto
3,masc,Postdoc,BR,desk,ens
2,masc,prof.uni,BR,desk,desabafo
3,fem,mest,BR,desk,tuto
2,masc,doc,ext,desk,tuto
3,fem,Postdoc,BR,desk,ens
3,fem,mest,BR,desk,tuto
2,fem,doc,BR,desk,ens
2,masc,mest,BR,desk,ens
1,fem,grad,BR,desk,NA
3,fem,Postdoc,ext,desk,tuto
2,fem,prof.bas,BR,desk,NA
2,fem,mest,BR,desk,tuto
2,masc,prof.bas,BR,desk,tuto
1,fem,mest,BR,desk,tuto
3,masc,Postdoc,BR,desk,ens
3,masc,outro,BR,desk,tuto
1,fem,grad,BR,desk,ens
2,fem,doc,ext,desk,desabafo
2,masc,Postdoc,BR,Smartphone,NA
3,masc,prof.bas,BR,desk,desabafo
3,fem,doc,BR,desk,tuto
4,masc,doc,BR,Tablet,tuto
1,fem,grad,BR,desk,tuto
2,masc,mest,BR,desk,ens
3,fem,desemp,BR,desk,ens
3,masc,Postdoc,BR,desk,ens
3,fem,prof.tec,BR,desk,desabafo
2,fem,doc,BR,Tablet,ens
2,fem,mest,BR,desk,ens
3,masc,Postdoc,BR,Smartphone,tuto
4,masc,doc,BR,desk,ens
3,fem,doc,BR,desk,ens
3,masc,doc,BR,desk,ens
4,fem,pesq,BR,desk,ens
2,masc,grad,BR,desk,tuto
1,fem,grad,BR,desk,tuto
3,masc,pesq,BR,desk,ens
2,masc,grad,BR,desk,tuto
1,masc,grad,BR,desk,ens
1,fem,grad,BR,desk,ens
3,fem,prof.uni,BR,desk,tuto
3,fem,doc,BR,Smartphone,ens
1,masc,mest,BR,desk,ens
2,fem,doc,BR,desk,NA
3,fem,doc,BR,Smartphone,tuto
2,masc,mest,BR,desk,ens
1,fem,grad,BR,Smartphone,ens
3,masc,prof.uni,BR,desk,ens
2,masc,doc,ext,desk,ens
2,masc,doc,ext,desk,dica
2,fem,doc,ext,desk,tuto
4,fem,prof.uni,BR,Smartphone,tuto
1,fem,mest,BR,desk,ens
3,masc,doc,BR,desk,ens
3,masc,prof.uni,BR,desk,ens
3,fem,prof.uni,BR,desk,ens
2,masc,doc,BR,desk,ens
3,fem,Postdoc,BR,desk,tuto
1,fem,grad,BR,desk,NA
1,fem,grad,BR,Smartphone,tuto
2,masc,grad,BR,desk,desabafo
4,masc,prof.bas,BR,desk,tuto
1,fem,mest,BR,desk,ens
3,masc,desemp,BR,desk,tuto
2,fem,mest,BR,desk,tuto
1,fem,outro,BR,desk,ens
